Open,Close,High,Low,Volume,Time
1142.0501,1130.65,1142.0501,1130.5,,2004-10-07
1130.65,1122.14,1132.92,1120.1899,,2004-10-08
1122.14,1124.39,1126.2,1122.14,,2004-10-11
1124.39,1121.84,1124.39,1115.77,,2004-10-12
1121.84,1113.65,1127.01,1109.63,,2004-10-13
1113.65,1103.29,1114.96,1102.0601,,2004-10-14
1103.29,1108.2,1113.17,1102.14,,2004-10-15
1108.2,1114.02,1114.46,1103.33,,2004-10-18
1114.02,1103.23,1117.96,1103.15,,2004-10-19
1103.23,1103.66,1104.09,1094.25,,2004-10-20
1103.66,1106.49,1108.87,1098.47,,2004-10-21
1106.49,1095.74,1108.14,1095.47,,2004-10-22
1095.74,1094.8001,1096.8101,1090.29,,2004-10-25
1094.8101,1111.09,1111.1,1094.8101,,2004-10-26
1111.09,1125.4,1126.29,1107.4301,,2004-10-27
1125.34,1127.4399,1130.67,1120.6,,2004-10-28
1127.4399,1130.2,1131.4,1124.62,,2004-10-29
1130.2,1130.51,1133.41,1127.6,,2004-11-01
1130.51,1130.5601,1140.48,1128.12,,2004-11-02
1130.54,1143.2,1147.57,1130.54,,2004-11-03
1143.2,1161.67,1161.67,1142.34,,2004-11-04
1161.67,1166.17,1170.87,1160.66,,2004-11-05
1166.17,1164.89,1166.77,1162.32,,2004-11-08
1164.89,1164.08,1168.96,1162.48,,2004-11-09
1164.08,1162.91,1169.25,1162.51,,2004-11-10
1162.91,1173.48,1174.8001,1162.91,,2004-11-11
1173.48,1184.17,1184.17,1171.4301,,2004-11-12
1184.17,1183.8101,1184.48,1179.85,,2004-11-15
1183.8101,1175.4301,1183.8101,1175.32,,2004-11-16
1175.4301,1181.9399,1188.46,1175.4301,,2004-11-17
1181.9399,1183.5501,1184.9,1180.15,,2004-11-18
1183.5501,1170.34,1184.0,1169.1899,,2004-11-19
1170.34,1177.24,1178.1801,1167.89,,2004-11-22
1177.24,1176.9399,1179.52,1171.41,,2004-11-23
1176.9399,1181.76,1182.46,1176.9399,,2004-11-24
1181.76,1182.65,1186.62,1181.08,,2004-11-26
1182.65,1178.57,1186.9399,1172.37,,2004-11-29
1178.57,1173.82,1178.66,1173.8101,,2004-11-30
1173.78,1191.37,1191.37,1173.78,,2004-12-01
1191.37,1190.33,1194.8001,1186.72,,2004-12-02
1190.33,1191.17,1197.46,1187.71,,2004-12-03
1191.17,1190.25,1192.41,1185.1801,,2004-12-06
1190.25,1177.07,1192.17,1177.07,,2004-12-07
1177.07,1182.8101,1184.0501,1177.07,,2004-12-08
1182.8101,1189.24,1190.51,1173.79,,2004-12-09
1189.24,1188.0,1191.45,1185.24,,2004-12-10
1188.0,1198.6801,1198.74,1188.0,,2004-12-13
1198.6801,1203.38,1205.29,1197.84,,2004-12-14
1203.38,1205.72,1206.61,1199.4399,,2004-12-15
1205.72,1203.21,1207.97,1198.41,,2004-12-16
1203.21,1194.2,1203.21,1193.49,,2004-12-17
1194.2,1194.65,1203.4301,1193.36,,2004-12-20
1194.65,1205.45,1205.9301,1194.65,,2004-12-21
1205.45,1209.57,1211.42,1203.85,,2004-12-22
1209.57,1210.13,1213.66,1208.71,,2004-12-23
1210.13,1204.92,1214.13,1204.92,,2004-12-27
1204.92,1213.54,1213.54,1204.92,,2004-12-28
1213.54,1213.45,1213.85,1210.95,,2004-12-29
1213.45,1213.5501,1216.47,1213.41,,2004-12-30
1213.5501,1211.92,1217.33,1211.65,,2004-12-31
1211.92,1202.08,1217.8001,1200.32,,2005-01-03
1202.08,1188.0501,1205.84,1185.39,,2005-01-04
