Open,Close,High,Low,Adj_Close,Volume,Time
0.00,103.76,104.80,103.06,103.76,103.76,"Jun 18, 1976"
0.00,103.61,104.12,101.97,103.61,103.61,"Jun 17, 1976"
0.00,102.01,102.65,100.96,102.01,102.01,"Jun 16, 1976"
0.00,101.46,102.39,100.84,101.46,101.46,"Jun 15, 1976"
0.00,101.95,102.51,101.00,101.95,101.95,"Jun 14, 1976"
0.00,100.92,101.22,99.38,100.92,100.92,"Jun 11, 1976"
0.00,99.56,99.98,98.55,99.56,99.56,"Jun 10, 1976"
0.00,98.74,99.49,98.23,98.74,98.74,"Jun 09, 1976"
0.00,98.80,99.71,98.32,98.80,98.80,"Jun 08, 1976"
0.00,98.63,99.39,97.97,98.63,98.63,"Jun 07, 1976"
0.00,99.15,100.27,98.79,99.15,99.15,"Jun 04, 1976"
0.00,100.13,101.10,99.68,100.13,100.13,"Jun 03, 1976"
0.00,100.22,100.69,99.26,100.22,100.22,"Jun 02, 1976"
0.00,99.85,100.74,99.36,99.85,99.85,"Jun 01, 1976"
0.00,100.18,100.64,99.00,100.18,100.18,"May 28, 1976"
0.00,99.38,99.77,98.26,99.38,99.38,"May 27, 1976"
0.00,99.34,100.14,98.65,99.34,99.34,"May 26, 1976"
0.00,99.49,100.02,98.48,99.49,99.49,"May 25, 1976"
0.00,99.44,101.07,99.11,99.44,99.44,"May 24, 1976"
0.00,101.26,102.34,100.81,101.26,101.26,"May 21, 1976"
0.00,102.00,102.53,100.69,102.00,102.00,"May 20, 1976"
0.00,101.18,102.01,100.55,101.18,101.18,"May 19, 1976"
0.00,101.26,102.00,100.72,101.26,101.26,"May 18, 1976"
0.00,101.09,101.71,100.41,101.09,101.09,"May 17, 1976"
0.00,101.34,102.23,100.82,101.34,101.34,"May 14, 1976"
0.00,102.16,103.03,101.73,102.16,102.16,"May 13, 1976"
0.00,102.77,103.55,102.14,102.77,102.77,"May 12, 1976"
0.00,102.95,103.99,102.39,102.95,102.95,"May 11, 1976"
0.00,103.10,103.51,101.76,103.10,103.10,"May 10, 1976"
0.00,101.88,102.27,100.77,101.88,101.88,"May 07, 1976"
0.00,101.16,101.70,100.31,101.16,101.16,"May 06, 1976"
0.00,100.88,101.92,100.45,100.88,100.88,"May 05, 1976"
0.00,101.46,101.93,100.29,101.46,101.46,"May 04, 1976"
0.00,100.92,101.73,100.14,100.92,100.92,"May 03, 1976"
0.00,101.64,102.65,101.16,101.64,101.64,"Apr 30, 1976"
